id,ppg,gsr
183,1713,
184,1697,
185,1697,
186,1664,
187,1665,
188,1680,
189,1664,
190,1649,
191,1633,
192,1633,
193,1632,
194,1649,
195,1649,
196,1680,
197,1664,
198,1649,
199,1648,
200,1649,
201,,0
202,,1249
203,,1249
204,,1249
205,,1249
206,,1248
207,,1249
208,,1248
209,,1249
210,,1249
211,,1248
212,,1248
213,,1248
214,,1248
215,,1248
216,,1249
217,,1249
218,,1248
219,,1249
220,,1248
221,,1249
222,,1249
223,,1249
224,,1248
225,,1249
226,,1248
227,,1249
228,,1249
229,,1249
230,,1249
231,,1248
232,,1265
233,,1248
234,,1248
235,,1249
236,,1248
237,,1248
238,,1248
239,,1265
240,,1248
241,,1249
242,,1249
243,,1249
244,,1249
245,,1265
246,,1264
247,,1249
248,,1248
249,,1264
250,,1264
251,1665,
252,1712,
253,1712,
254,1712,
255,1681,
256,1681,
257,1728,
258,1728,
259,1712,
260,1712,
261,1664,
262,1680,
263,1697,
264,1681,
265,1665,
266,1664,
267,1696,
268,1712,
269,1712,
270,1744,
271,1697,
272,1664,
273,1680,
274,1680,
275,1681,
276,1696,
277,1697,
278,1680,
279,1696,
280,1713,
281,1729,
282,1745,
283,1760,
284,1793,
285,1792,
286,1777,
287,1744,
288,1744,
289,1744,
290,1745,
291,1729,
292,1744,
293,1777,
294,1792,
295,1809,
296,1792,
297,1777,
298,1761,
299,1744,
300,1744,
301,,0
302,,1264
303,,1249
304,,1264
305,,1264
306,,1264
307,,1265
308,,1249
309,,1265
310,,1265
311,,1249
312,,1264
313,,1264
314,,1264
315,,1249
316,,1264
317,,1249
318,,1248
319,,1264
320,,1264
321,,1265
322,,1264
323,,1248
324,,1249
325,,1249
326,,1249
327,,1249
328,,1249
329,,1248
330,,1248
331,,1249
332,,1248
333,,1249
334,,1249
335,,1249
336,,1248
337,,1249
338,,1248
339,,1248
340,,1249
341,,1249
342,,1248
343,,1248
344,,1249
345,,1248
346,,1249
347,,1248
348,,1249
349,,1249
350,,1249
351,1745,
352,1760,
353,1729,
354,1728,
355,1712,
356,1744,
357,1761,
358,1776,
359,1760,
360,1744,
361,1745,
362,1760,
363,1729,
364,1729,
365,1728,
366,1729,
367,1761,
368,1761,
369,1776,
370,1745,
371,1744,
372,1761,
373,1760,
374,1744,
375,1744,
376,1744,
377,1744,
378,1744,
379,1761,
380,1776,
381,1792,
382,1760,
383,1728,
384,1713,
385,1712,
386,1729,
387,1744,
388,1745,
389,1745,
390,1760,
391,1776,
392,1776,
393,1776,
394,1760,
395,1745,
396,1744,
397,1744,
398,1744,
399,1744,
400,1712,
401,,0
402,,1248
403,,1249
404,,1249
405,,1248
406,,1248
407,,1248
408,,1249
409,,1248
410,,1249
411,,1249
412,,1248
413,,1248
414,,1248
415,,1248
416,,1248
417,,1249
418,,1248
419,,1249
420,,1249
421,,1248
422,,1249
423,,1249
424,,1249
425,,1248
426,,1248
427,,1249
428,,1248
429,,1249
430,,1249
431,,1249
432,,1248
433,,1249
434,,1249
435,,1248
436,,1248
437,,1249
438,,1248
439,,1248
440,,1248
441,,1249
442,,1249
443,,1248
444,,1248
445,,1248
446,,1249
447,,1249
448,,1248
449,,1248
450,,1249
451,1745,
452,1776,
453,1809,
454,1809,
455,1793,
456,1745,
457,1745,
458,1745,
459,1729,
460,1728,
461,1744,
462,1745,
463,1760,
464,1777,
465,1776,
466,1776,
467,1777,
468,1761,
469,1745,
470,1744,
471,1745,
472,1729,
473,1729,
474,1744,
475,1761,
476,1777,
477,1792,
478,1776,
479,1760,
480,1729,
481,1713,
482,1729,
483,1713,
484,1728,
485,1728,
486,1712,
487,1745,
488,1761,
489,1744,
490,1745,
491,1760,
492,1728,
493,1729,
494,1729,
495,1713,
496,1729,
497,1729,
498,1729,
499,1729,
500,1713,
501,,0
502,,1248
503,,1249
504,,1249
505,,1248
506,,1248
507,,1249
508,,1249
509,,1248
510,,1249
511,,1248
512,,1249
513,,1248
514,,1249
515,,1248
516,,1248
517,,1249
518,,1249
519,,1248
520,,1249
521,,1249
522,,1249
523,,1248
524,,1248
525,,1248
526,,1249
527,,1249
528,,1249
529,,1249
530,,1249
531,,1248
532,,1249
533,,1249
534,,1248
535,,1249
536,,1248
537,,1248
538,,1249
539,,1248
540,,1248
541,,1248
542,,1249
543,,1249
544,,1248
545,,1248
546,,1249
547,,1249
548,,1249
549,,1249
550,,1248
551,1713,
552,1744,
553,1744,
554,1745,
555,1745,
556,1713,
557,1712,
558,1713,
559,1712,
560,1712,
561,1696,
562,1696,
563,1712,
564,1728,
565,1729,
566,1729,
567,1728,
